latitude,longitude,ano_flate,ano_punkt,hovedtype,kartleggin,sp,file,temperature_WQ,precipitation_Annual,road_distance,name
59.595736883854805,8.200271356387875,ANO0617,ANO0617_11,Skogsmark,T4-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.667316436767578,1057.4803466796875,500,0617_11_T4-C-1_vm_12_1057_500
59.597310240350176,8.202796155556527,ANO0617,ANO0617_33,Skogsmark,T4-C-5,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.713083267211914,1056.2486572265625,500,0617_33_T4-C-5_vm_12_1056_500
65.68247631208739,13.47366192695954,ANO0740,ANO0740_55,Fjellhei leside og tundra,T3-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.833499908447266,1370.6541748046875,943.39813232421875,0740_55_T3-C-1_vm_12_1371_943
65.68317638252434,13.4718792198648,ANO0740,ANO0740_64,Fastmarksskogsmark,T4-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.932866096496582,1371.9578857421875,806.22576904296875,0740_64_T4-C-1_vm_12_1372_806
65.67953645953028,13.466870141968172,ANO0740,ANO0740_11,Fastmarksskogsmark,T4-C-2,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.952632904052734,1372.6251220703125,921.9544677734375,0740_11_T4-C-2_vm_12_1373_922
65.68030637138065,13.472048442417147,ANO0740,ANO0740_24,Fjellhei leside og tundra,T3-C-2,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.86793327331543,1370.37548828125,989.94952392578125,0740_24_T3-C-2_vm_12_1370_990
65.68174137711692,13.471963836303827,ANO0740,ANO0740_44,Fastmarksskogsmark,T4-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.904417037963867,1370.5797119140625,921.9544677734375,0740_44_T4-C-1_vm_12_1371_922
59.4730597549667,8.081599388366781,ANO0835,ANO0835_26,Fastmarksskogsmark,T4-C-3,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.552849769592285,1096.508544921875,100,0835_26_T4-C-3_vm_12_1097_100
59.47369837019281,8.08005127474534,ANO0835,ANO0835_35,Fastmarksskogsmark,T4-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.562433242797852,1096.0068359375,100,0835_35_T4-C-1_vm_12_1096_100
59.47276147175271,8.075993090627843,ANO0835,ANO0835_22,Fastmarksskogsmark,T4-C-2,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.620782852172852,1094.2569580078125,100,0835_22_T4-C-2_vm_12_1094_100
59.47340001865104,8.074444889623356,ANO0835,ANO0835_31,Fastmarksskogsmark,T4-C-2,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.620782852172852,1094.2569580078125,100,0835_31_T4-C-2_vm_12_1094_100
59.473549224364675,8.077248067676836,ANO0835,ANO0835_33,Fastmarksskogsmark,T4-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.596433639526367,1094.8426513671875,100,0835_33_T4-C-1_vm_12_1095_100
59.47433696592734,8.078503102923865,ANO0835,ANO0835_44,Fastmarksskogsmark,T4-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.562767028808594,1096.2152099609375,200,0835_44_T4-C-1_vm_12_1096_200
59.47448608603257,8.08130638269712,ANO0835,ANO0835_46,Fastmarksskogsmark,T4-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.557833671569824,1097.3057861328125,200,0835_46_T4-C-1_vm_12_1097_200
59.475124696439565,8.079758196372733,ANO0835,ANO0835_55,Fastmarksskogsmark,T4-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.551183700561523,1097.5279541015625,300,0835_55_T4-C-1_vm_12_1098_300
59.47576328735376,8.078209951842695,ANO0835,ANO0835_64,Fastmarksskogsmark,T4-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.521849632263184,1097.7159423828125,400,0835_64_T4-C-1_vm_12_1098_400
59.474975542168934,8.076954872900536,ANO0835,ANO0835_53,Fastmarksskogsmark,T4-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.541116714477539,1096.3837890625,300,0835_53_T4-C-1_vm_12_1096_300
59.475614098916246,8.075406584673559,ANO0835,ANO0835_62,Fastmarksskogsmark,T4-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.50409984588623,1096.6058349609375,400,0835_62_T4-C-1_vm_12_1097_400
59.474826328009485,8.074151578447378,ANO0835,ANO0835_51,Fastmarksskogsmark,T4-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.545916557312012,1095.794921875,300,0835_51_T4-C-1_vm_12_1096_300
59.47418778593432,8.07569985216203,ANO0835,ANO0835_42,Fastmarksskogsmark,T4-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.588066101074219,1095.0439453125,200,0835_42_T4-C-1_vm_12_1095_200
65.66111167553626,13.509283756248239,ANO0926,ANO0926_66,Fjellhei leside og tundra,T3-C-2,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.945283889770508,1345.00341796875,509.9019470214844,0926_66_T3-C-2_vm_12_1345_510
65.65967664125047,13.50936621740712,ANO0926,ANO0926_46,Nakent berg,T1-C-2,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.86715030670166,1345.2928466796875,583.09521484375,0926_46_T1-C-2_vm_12_1345_583
65.6582416066384,13.509448668511522,ANO0926,ANO0926_26,Ãpen jordvannsmyr,V1-C-5,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.818066596984863,1345.3798828125,640.31243896484375,0926_26_V1-C-5_vm_12_1345_640
65.65750706915192,13.507751137632575,ANO0926,ANO0926_15,Fjellhei leside og tundra,T3-C-2,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.82699966430664,1347.5472412109375,632.45550537109375,0926_15_T3-C-2_vm_12_1348_632
65.65747296952658,13.504273639860601,ANO0926,ANO0926_13,Ãpen jordvannsmyr,V1-C-5,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.977916717529297,1352.064453125,447.2135925292969,0926_13_V1-C-5_vm_12_1352_447
65.65820754555432,13.5059710696176,ANO0926,ANO0926_24,Ãpen jordvannsmyr,V1-C-5,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.936699867248535,1349.6461181640625,500,0926_24_V1-C-5_vm_12_1350_500
65.65894210279626,13.50766859546434,ANO0926,ANO0926_35,Fastmarksskogsmark,T4-C-2,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.872933387756348,1347.4476318359375,565.6854248046875,0926_35_T4-C-2_vm_12_1347_566
65.65964257790323,13.505888426321121,ANO0926,ANO0926_44,Fjellhei leside og tundra,T3-C-2,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,11.970315933227539,1349.4716796875,424.2640686035156,0926_44_T3-C-2_vm_12_1349_424
61.51690420915828,7.464542733062311,ANO0981,ANO0981_13,Fjellhei leside og tundra,T3-C-1,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,10.771716117858887,1354.875244140625,948.68328857421875,0981_13_T3-C-1_vm_11_1355_949
61.51673861294354,7.461561479827317,ANO0981,ANO0981_11,Skogsmark,T4-C-18,vm,Ano_sites/Blåbær/tempW10-12_preA1050-1400.csv,10.900400161743164,1358.615478515625,921.9544677734375,0981_11_T4-C-18_vm_11_1359_922
